,thresholds,precision,recall,f1,queue_rate,train_iter
0,0.0,0.24698367636621718,1.0,0.39612976664769495,1.0,1
1,0.02,0.28689883913764513,0.9942528735632183,0.44530244530244534,0.8559261887863733,1
2,0.04,0.31125226860254085,0.985632183908046,0.4731034482758621,0.7821149751596878,1
3,0.06,0.32848837209302323,0.9741379310344828,0.49130434782608695,0.7324343506032647,1
4,0.08,0.3463917525773196,0.9655172413793104,0.5098634294385432,0.6884315117104329,1
5,0.1,0.36314067611777534,0.9568965517241379,0.5264822134387351,0.6508161816891412,1
6,0.12,0.37543053960964407,0.9396551724137931,0.5365053322395407,0.6181689141234918,1
7,0.14,0.38658536585365855,0.9109195402298851,0.5428082191780822,0.5819730305180979,1
8,0.16,0.4043927648578811,0.8994252873563219,0.5579322638146167,0.5493257629524485,1
9,0.18,0.41904761904761906,0.8850574712643678,0.5687903970452447,0.5216465578424414,1
10,0.2,0.4287749287749288,0.8649425287356322,0.5733333333333334,0.4982256919801277,1
11,0.22,0.44461077844311375,0.853448275862069,0.5846456692913385,0.4740951029098652,1
12,0.24,0.4546875,0.8362068965517241,0.5890688259109312,0.45422285308729593,1
13,0.26,0.46492659053833607,0.8189655172413793,0.5931321540062434,0.4350603264726757,1
14,0.28,0.4752981260647359,0.8017241379310345,0.5967914438502674,0.41660752306600424,1
15,0.3,0.48300536672629696,0.7758620689655172,0.5953693495038589,0.39673527324343505,1
16,0.32,0.49056603773584906,0.7471264367816092,0.592255125284738,0.376153300212917,1
17,0.34,0.5130260521042084,0.735632183908046,0.6044864226682408,0.35415188076650106,1
18,0.36,0.5236051502145923,0.7011494252873564,0.5995085995085996,0.3307310149041874,1
19,0.38,0.5446224256292906,0.6839080459770115,0.6063694267515923,0.31014904187366926,1
20,0.4,0.55,0.6637931034482759,0.6015625,0.298083747338538,1
21,0.42,0.5609137055837563,0.6350574712643678,0.5956873315363881,0.27963094393186655,1
22,0.44,0.5684210526315789,0.6206896551724138,0.5934065934065934,0.26969481902058196,1
23,0.46,0.5810055865921788,0.5977011494252874,0.5892351274787535,0.2540809084457062,1
24,0.48,0.5940298507462687,0.5718390804597702,0.5827232796486091,0.23775727466288146,1
25,0.5,0.6012461059190031,0.5545977011494253,0.5769805680119582,0.22782114975159687,1
26,0.52,0.6163934426229508,0.5402298850574713,0.5758039816232772,0.21646557842441447,1
27,0.54,0.6306620209059234,0.5201149425287356,0.5700787401574803,0.2036905606813343,1
28,0.56,0.6528301886792452,0.49712643678160917,0.564437194127243,0.1880766501064585,1
29,0.58,0.6639344262295082,0.46551724137931033,0.5472972972972973,0.17317246273953157,1
30,0.6,0.6652542372881356,0.4511494252873563,0.5376712328767124,0.16749467707594037,1
31,0.62,0.6788990825688074,0.42528735632183906,0.5229681978798587,0.1547196593328602,1
32,0.64,0.6767676767676768,0.3850574712643678,0.49084249084249076,0.14052519517388218,1
33,0.66,0.6961325966850829,0.3620689655172414,0.4763705103969754,0.12845990063875087,1
34,0.68,0.7080745341614907,0.3275862068965517,0.44793713163064836,0.11426543647977289,1
35,0.7000000000000001,0.746268656716418,0.28735632183908044,0.41493775933609955,0.09510290986515259,1
36,0.72,0.746268656716418,0.28735632183908044,0.41493775933609955,0.09510290986515259,1
37,0.74,0.7540983606557377,0.26436781609195403,0.39148936170212767,0.08658623136976579,1
38,0.76,0.7522935779816514,0.23563218390804597,0.3588621444201313,0.0773598296664301,1
39,0.78,0.7475728155339806,0.22126436781609196,0.3414634146341463,0.07310149041873669,1
40,0.8,0.75,0.19827586206896552,0.31363636363636366,0.06529453513129879,1
41,0.8200000000000001,0.828125,0.15229885057471265,0.2572815533980583,0.0454222853087296,1
42,0.84,0.828125,0.15229885057471265,0.2572815533980583,0.0454222853087296,1
43,0.86,0.8166666666666667,0.14080459770114942,0.24019607843137253,0.042583392476934,1
44,0.88,0.8085106382978723,0.10919540229885058,0.19240506329113927,0.0333569907735983,1
45,0.9,0.8809523809523809,0.10632183908045977,0.18974358974358974,0.029808374733853796,1
46,0.92,0.8823529411764706,0.08620689655172414,0.15706806282722513,0.0241305890702626,1
